costeffective, fruitless
unforgiving, unsuccessful
awake, enhanced
above-board, classy
claire, sufficiently
corrupt, prompt
attention, denser
mainly, staff
afresh, misleading
moderate, stressful
apace, nervous
agreement, diverse
time-consuming, two-
open-ended, powerless
admissible, faulty
attention, married
eerie, tolerated
cheaper, pilot-tested
mama, yo
drunk, leave
insurmountable, quality
diseased, susceptible
practicable, soaring
fairest, voluntary
broad-based, hooked
essential, immense
mission-critical, small-time
dramatic, guys
invalid, negligent
one-sidedly, upbeat
dazzling, trippy
recheck, suspect
buoyant, unsettled
efficacy, specify
crazed, time-sensitive
brainless, certifiable
coming, renowned
guys, self-governed
contaminated, thanks
restless, well-received
disturbed, rotten
aforesaid, nominal
hotter, unfavourable
bummed, mindful
naked, shortest
innovative, theoretical
2nd, unbalanced
reaily, undignified
low, staggering
nascent, sweetheart
essentially, narrower
exciting, minute
misused, quieter
snarky, violated
pathetic, redundant
interest, scarce
considered, indebted
implementable, volatile
honest, special
chloe, max
appointed, redeemable
david, successfully
fluent, manageable
extirpated, uneasy
chubby, well-formed
charming, well-suited
co-operate, unsavory
glorious, young
best, builshit
fifteen, icy
accomplished, explosive
countless, ordinary
goal-oriented, uncompetitive
10, distressed
emerging, necessarily
owned, valuable
homesick, weii
crushed, terminated
anything, non-discriminatory
expensive, fortunate
entirely, irritating
enforceable, security
released, use
flicka, scarlett
assertive, humble
comfy, wide-ranging
elevated, legality
disturbing, skilful
laughable, vicious
de-insured, foremost
overt, valued
determinable, self-financing
deepest, heavier
acclaimed, stupid
meaningless, well-designed
differing, shiny
awol, stress-related
key, stupide
retard, state-funded
invaluable, well-filled
focussed, unimaginable
bi-directional, disastrous
chosen, wet
laborious, need
accused, profound
lengthier, reduced
dead, task-oriented
lifelong, time-sensitive
crass, richest
lovelier, upper
shy, unbalanced
insignificant, permissible
inexplicable, wretched
becoming, lovelier
inquisitive, snappy
house-trained, personally
succinct, yes
life-long, one-sided
focussed, orderly
certain, reasonably
repelling, wary
skeletal, topic
insignificant, vivid
sing, truly
inactive, sincere
devastating, neglected
expeditious, upset
functional, premier
agreement, uncomfortable
indispensible, uneconomic
flexible, inexpensive
grateful, rigorous
disjunct, pray
il, short-lived
affluent, delighted
allergic, technological
confusing, suspect
clear-cut, infuriating
fbl, ghastly
enormously, little
foutu, kosher
unabated, unprofitable
changing, sufficient
differing, intriguing
contentious, flicka
denser, unethical
iovely, open-ended
retarded, transparent
infected, proficient
remarried, wanted
