flashing, talkative
miniscule, priceless
naturally, scant
positively, underdeveloped
odious, stunning
blurred, deceptive
endemic, sold
obvious, preposterous
green, occupational
immaterial, jam-packed
acceded, corrigendum
doubtful, serious
minimum, wholly
beneficial, whilst
inexplicable, proven
insecure, tenacious
integrated, suicidal
believable, satisfying
academic, discrete
counter-productive, seldom
try, well-served
horny, safest
export-ready, wider
etc, furthermore
lengthier, saved
elegante, thoroughly
hurry, phony
simpler, single-ranked
longitude, sleepy
bad-looking, of
anyway, demeaning
overall, year
persuaded, self-sufficiency
fragmented, worldwide
added, commensurate
alarmed, shocking
already, woolly
aforementioned, tough
destabilizing, six-year
grimmer, rarer
merciful, satisfying
desired, mindful
antagonistic, unknown
consulted, yo
ever, owned
flavorful, historic
jeopardized, legit
even, shit
certainly, inefficient
defenceless, imprecise
direct, terrorized
changing, normally
industrialised, innumerable
affluent, complicit
belle, indisputable
inter-linked, pitiful
earlier, serene
inconsistent, switching
coordinated, humiliated
axiomatic, functionally
hourly, likely
heights, painless
forthwith, lethal
panicky, transparent
belle, recognizing
well-positioned, worthwhile
everybody, grieved
improving, tailor-made
documented, moron
booming, unaffected
lasting, mere
co-operate, work
up-to-date, win
intelligent, unused
published, resilient
abundant, re-routed
awestruck, unlawful
misguided, retard
adapted, fancy
commonplace, foutu
faultless, scientifically
intriguing, mistaken
anyway, complicit
acknowledging, dire
self-governed, selfevident
standing, truer
enough, essentially
experienced, murderous
improper, provisional
reassuring, widely
pretend, simplest
exhausted, orderly
beneficial, unidentified
terrified, vulnerable
best-known, non-binding
obvious, referenced
invaluable, out
elegant, radiant
chloe, someday
determinative, idiot
added, under-age
fall, homicidal
bare, chickenshit
anti-constitutional, convinced
acute, up-to-date
freest, moving
dear, weirder
gaunt, trashed
roisin, unfavourable
mieux, ruthless
intrusive, kind
stand-alone, superfluous
overloaded, sore
attractive, urgently
central, ill-defined
disproportionate, luckier
acquainted, insensitive
acute, readyto
obese, wealthier
all-important, repelling
awareness-raising, unwholesome
cloudy, nothingg
equivocal, killed
deliberately, firstly
ok, unsustainable
clara, presented
open, salient
coast, huge
general, swift
fast, unimaginable
prettier, yeah
contentious, tricky
distinguished, to
busy, younger
drunk, tedious
hurtin, overlooked
clear, overlooked
slick, winning
thanks, wealthier
energy-efficient, visual
interim, vigilant
fast-switched, loco
exciting, indispensable
available, down
aggressive, frank
aggravating, formidable
laborious, varied
furious, incapable
cranky, unfilled
brillant, sleeping
adjusted, lovelier
determining, terrible
labour-intensive, marvellous
begin, costly
prepped, unlawful
moron, refundable
eccentric, sociable
newborn, understanding
acknowledged, approved
clara, regrettable
incomplete, say
applied, round
profitable, unrelated
19, potent
breathe, earliest
precarious, wreckable
convenient, unmistakable
co-chairperson, successfully
corny, possibly
third, wait
dubious, information
2nd, wierd
silent, snotty
distraught, populated
graduate, relative
centralized, unforgiving
expressed, preceding
powerless, sultry
mid-, topnotch
high-ranking, trusted
desirable, somewhat
correct, twenty
orderly, thanks
expensive, stunning
industrialized, served
atrocious, info
miserable, secured
redeemable, sexy
impeccable, soothing
environment-friendly, silly
dirty, over-optimistic
cooperative, iil
drier, ideal
agreement, cheap
premier, prestigious
taken, well-targeted
cozy, petite
follows, tenuous
-sorry, emphasise
detailed, hurtful
lethal, wild
muted, round
disputable, sore
equitable, even-handed
affluent, clearly
immaculate, visual
small, useless
co-operation, silent
cross-border, prestigious
okey, recheck
nosey, profitable
judicious, laborious
babe, clinically
tailored, terminated
patchy, strict
frustrated, impractical
tall, unexceptable
interesting, payable
affirmative, fully
undetermined, woolly
losin, multi-faceted
hiv, hurtin
fascinating, open-ended
distasteful, extensible
far, richer
broad, seropositive
considerate, naked
environmental, receptive
centralized, consideration
latter, remarkable
fall, omnibus
east, illiterate
significantly, sooner
stable, thirsty
myself, treaty
pitch-dark, published
droll, rewarding
annoying, innocent
furthermore, preponderant
aligned, professional
good-natured, profane
hinky, hooked
absolute, spaced
peaceful, successfully
achievable, two-fold
somewhere, well-defined
start, swearing
do-able, purer
cooperative, handsome
